N,Helstrom_Pe,Kennedy_beta0,Kennedy_opt,beta_star
1.1207125108510851,0.002833317292074089,0.0056505792103930695,0.0053873971143028575,0.022023767578989138
1.1209125307530754,0.0028310448676711064,0.005646060105256661,0.00538323950704293,0.022009128757350154
1.1211125506550654,0.0028287742710355057,0.005641544614318111,0.0053790850314908625,0.021994498167493097
1.1213125705570557,0.0028265055006888584,0.005637032734686923,0.005374933685375955,0.021979876507095406
1.121512590459046,0.0028242385551538463,0.005632524463474907,0.005370785466429061,0.021965263767356375
1.1217126103610362,0.0028219734329544277,0.005628019797796206,0.005366640372382604,0.021950659946163974
1.1219126302630262,0.002819710132615616,0.00562351873476727,0.0053624984009705695,0.021936065035285078
1.1221126501650165,0.002817448652663812,0.0056190212715068345,0.005358359549928472,0.021921479033654094
1.1223126700670067,0.0028151889916265826,0.005614527405135945,0.005354223816993381,0.021906901935449013
1.122512689968997,0.002812931148032549,0.0056100371327779605,0.005350091199903933,0.021892333736013334
1.122712709870987,0.0028106751204117764,0.005605550451558538,0.005345961696400312,0.021877774084715307
1.1229127297729773,0.002808420907295328,0.005601067358605616,0.005341835304224228,0.021863224007748514
1.1231127496749675,0.0028061685072156006,0.0055965878510494645,0.005337712021118974,0.021848682483830123
1.1233127695769578,0.002803917918706156,0.005592111926022611,0.005333591844829369,0.021834149260326015
1.1235127894789478,0.002801669140301666,0.005587639580659905,0.005329474773101774,0.021819626064346665
1.123712809380938,0.002799422170538135,0.005583170812098464,0.005325360803684109,0.02180511115349248
1.1239128292829283,0.002797177007952678,0.005578705617477713,0.00532124993432583,0.021790604412806534
1.1241128491849186,0.002794933651083631,0.0055742439939393575,0.00531714216277794,0.021776108594938115
1.1243128690869086,0.0027926920984705506,0.005569785938627395,0.005313037486792981,0.021761619619736744
1.124512888988899,0.00279045234865416,0.005565331448688094,0.0053089359041250395,0.02174714015277979
1.1247129088908892,0.0027882144001763476,0.005560880521270011,0.005304837412529732,0.021732669539046255
1.1249129287928794,0.002785978251580279,0.005556433153524007,0.005300742009764241,0.021718207757568386
1.1251129486948694,0.0027837439014102294,0.005551989342603174,0.005296649693587256,0.021703754820027923
1.1253129685968597,0.002781511348211696,0.0055475490856629174,0.005292560461759015,0.021689310718182184
1.12551298849885,0.002779280590531341,0.005543112379860901,0.00528847431204129,0.02167487543776578
1.1257130084008402,0.002777051626917104,0.005538679222357084,0.005284391242197414,0.021660448998059138
1.1259130283028302,0.002774824455917979,0.00553424961031367,0.005280311249992219,0.021646031362906326
1.1261130482048205,0.0027725990760842922,0.005529823540895138,0.00527623433319208,0.02163162271887409
1.1263130681068108,0.002770375485967369,0.005525401011268246,0.005272160489564908,0.021617222544851454
1.126513088008801,0.002768153684119923,0.0055209820186020095,0.0052680897168801534,0.021602831347570406
1.126713107910791,0.0027659336690957215,0.005516566560067721,0.005264022012908801,0.02158844895153953
1.1269131278127813,0.0027637154394496988,0.005512154632838894,0.005259957375423319,0.021574075179774676
1.1271131477147716,0.0027614989937381207,0.0055077462340913695,0.005255895802197771,0.021559710709942538
1.1273131676167618,0.0027592843305182524,0.005503341361003194,0.0052518372910077046,0.021545354528182386
1.1275131875187518,0.002757071448348636,0.0054989400107546774,0.005247781839630196,0.021531007294689604
1.127713207420742,0.002754860345789034,0.0054945421805284115,0.0052437294458438696,0.021516668836004803
1.1279132273227324,0.00275265102140021,0.0054901478675092276,0.005239680107428865,0.021502339153111887
1.1281132472247226,0.0027504434737443684,0.005485757068884181,0.0052356338221668155,0.021488018239564456
1.1283132671267126,0.0027482377013846038,0.005481369781842627,0.005231590587840934,0.021473706089776327
1.128513287028703,0.002746033702885453,0.005476986003576128,0.005227550402235902,0.02145940270244638
1.1287133069306932,0.0027438314768123973,0.005472605731278515,0.005223513263137952,0.021445108071575635
1.1289133268326832,0.0027416310217322493,0.005468228962145844,0.0052194791683348235,0.021430822186972107
1.1291133467346735,0.002739432336212877,0.005463855693376438,0.0052154481156157844,0.02141654504994925
